motion_thresh,med_rsq,CI_95,n,age_l,age_u
30.0,0.86748577087,0.214962412184,20.0,6.0,18.0
30.0,0.906438392134,0.130897200948,30.0,6.0,18.0
30.0,0.93545533565,0.0839144526589,40.0,6.0,18.0
30.0,0.94808040836,0.0957542231875,50.0,6.0,18.0
30.0,0.957237487043,0.060944048106,60.0,6.0,18.0
30.0,0.960494157638,0.0614026432356,70.0,6.0,18.0
30.0,0.965908427884,0.0484658130318,80.0,6.0,18.0
30.0,0.970169522532,0.0476236686393,90.0,6.0,18.0
30.0,0.973336836073,0.0391681599058,100.0,6.0,18.0
35.0,0.735544798755,0.37573137895,10.0,6.0,18.0
35.0,0.871578123192,0.169412562016,20.0,6.0,18.0
35.0,0.909403784895,0.127435489635,30.0,6.0,18.0
35.0,0.936115879086,0.0925862599507,40.0,6.0,18.0
35.0,0.948316993268,0.0905837466587,50.0,6.0,18.0
35.0,0.955182771053,0.0733227835698,60.0,6.0,18.0
35.0,0.961650410111,0.0534813787913,70.0,6.0,18.0
35.0,0.966168424816,0.0522914920908,80.0,6.0,18.0
35.0,0.969389431711,0.0593635830066,90.0,6.0,18.0
35.0,0.974218534693,0.0491803631487,100.0,6.0,18.0
40.0,0.738289688007,0.340005263532,10.0,6.0,18.0
40.0,0.861847101328,0.19665312955,20.0,6.0,18.0
40.0,0.912003488215,0.1260276905,30.0,6.0,18.0
40.0,0.932970704473,0.113572743504,40.0,6.0,18.0
40.0,0.948221375785,0.0918764578873,50.0,6.0,18.0
40.0,0.949635414102,0.080074059416,60.0,6.0,18.0
40.0,0.961234398684,0.0471801359596,70.0,6.0,18.0
40.0,0.964496210513,0.0606240362324,80.0,6.0,18.0
40.0,0.97078799424,0.049302518043,90.0,6.0,18.0
40.0,0.972492042855,0.046024979105,100.0,6.0,18.0
45.0,0.751659953008,0.377832257859,10.0,6.0,18.0
45.0,0.866161887932,0.342140723002,20.0,6.0,18.0
45.0,0.911895291403,0.125501562012,30.0,6.0,18.0
45.0,0.931706860577,0.111926746536,40.0,6.0,18.0
45.0,0.947507197291,0.0572931513228,50.0,6.0,18.0
45.0,0.95458615574,0.047417939802,60.0,6.0,18.0
